term,gene
ko00940,R120153250
ko01100,R120153250
ko01110,R120153250
ko00310,R120143680
ko01100,R120143680
ko04211,R120143680
ko04075,R120177540
ko00460,R120368990
ko00500,R120368990
ko00940,R120368990
ko01100,R120368990
ko01110,R120368990
ko00592,R120378180
ko04712,R120151110
ko04141,R120325570
ko04075,R120232520
ko03460,R120089070
ko00908,R120124690
ko01110,R120124690
ko04120,R120263650
ko00260,R120353110
ko00630,R120353110
ko01100,R120353110
ko01110,R120353110
ko01120,R120353110
ko01200,R120353110
ko04722,R120210180
ko04962,R120210180
ko00940,R120198890
ko01100,R120198890
ko01110,R120198890
ko04714,R120307240
ko03010,R120021590
ko05171,R120021590
ko04120,R120257650
ko04624,R120257650
ko05131,R120257650
ko04016,R120101860
ko04075,R120101860
ko04626,R120101860
ko00340,R120304430
ko01100,R120304430
ko01110,R120304430
ko01230,R120304430
ko04068,R120140540
ko04140,R120140540
ko04150,R120140540
ko04151,R120140540
ko04152,R120140540
ko04211,R120140540
ko04213,R120140540
ko04361,R120140540
ko04371,R120140540
ko04530,R120140540
ko04710,R120140540
ko04714,R120140540
ko04910,R120140540
ko04920,R120140540
ko04921,R120140540
ko04922,R120140540
ko04931,R120140540
ko04932,R120140540
ko05410,R120140540
ko05418,R120140540
ko04141,R120206140
ko05014,R120206140
ko00380,R120326360
ko00630,R120326360
ko01100,R120326360
ko01110,R120326360
ko01200,R120326360
ko04011,R120326360
ko04016,R120326360
ko04068,R120326360
ko04146,R120326360
ko04211,R120326360
ko04212,R120326360
ko04213,R120326360
ko05014,R120326360
ko05022,R120326360
ko04013,R120356830
ko04115,R120356830
ko04120,R120356830
ko04310,R120356830
ko01524,R120307650
ko03430,R120307650
ko05200,R120307650
ko05210,R120307650
ko00220,R120084200
ko00250,R120084200
ko00270,R120084200
ko00330,R120084200
ko00350,R120084200
ko00360,R120084200
ko00400,R120084200
ko00950,R120084200
ko00960,R120084200
ko01100,R120084200
ko01110,R120084200
ko01210,R120084200
ko01230,R120084200
ko04612,R120346960
