"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"ko00982","ko00982","Drug metabolism - cytochrome P450","41/1634","77/7247",3.76876742440759e-09,1.21731187808365e-06,1.11872885650836e-06,"R120115120/R120195860/R120269530/R120307940/R120357140/R120031200/R120285650/R120120460/R120297300/R120058430/R120246690/R120139930/R120252920/R120354730/R120025230/R120377300/R120371550/R120257470/R120059170/R120139920/R120223390/R120252910/R120136370/R120307950/R120397120/R120097790/R120203360/R120112170/R120231950/R120267110/R120177370/R120059180/R120156410/R120118680/R120133880/R120151780/R120223250/R120363360/R120347630/R120285670/R120139910",41
"ko00980","ko00980","Metabolism of xenobiotics by cytochrome P450","41/1634","80/7247",1.63728285173596e-08,2.64421180555358e-06,2.43007244310285e-06,"R120115120/R120195860/R120269530/R120307940/R120357140/R120031200/R120285650/R120120460/R120297300/R120058430/R120246690/R120139930/R120252920/R120354730/R120025230/R120377300/R120371550/R120257470/R120059170/R120139920/R120223390/R120252910/R120136370/R120307950/R120397120/R120097790/R120203360/R120112170/R120231950/R120267110/R120177370/R120059180/R120156410/R120118680/R120133880/R120151780/R120223250/R120363360/R120347630/R120285670/R120139910",41
"ko05204","ko05204","Chemical carcinogenesis","38/1634","77/7247",1.98240311255399e-07,2.13438735118312e-05,1.96153571136921e-05,"R120115120/R120195860/R120269530/R120307940/R120357140/R120031200/R120285650/R120297300/R120058430/R120246690/R120139930/R120252920/R120354730/R120025230/R120377300/R120371550/R120257470/R120059170/R120139920/R120223390/R120252910/R120307950/R120397120/R120097790/R120203360/R120112170/R120231950/R120267110/R120177370/R120059180/R120118680/R120133880/R120151780/R120223250/R120363360/R120347630/R120285670/R120139910",38
"ko05418","ko05418","Fluid shear stress and atherosclerosis","61/1634","150/7247",3.95206372935851e-07,3.19129146145699e-05,2.93284729389237e-05,"R120115120/R120195860/R120269530/R120307940/R120357140/R120031200/R120154960/R120285650/R120038370/R120297300/R120058430/R120246690/R120139930/R120252920/R120354730/R120025230/R120377300/R120040430/R120371550/R120192010/R120093880/R120257470/R120059170/R120068910/R120139920/R120223390/R120283960/R120252910/R120101310/R120307950/R120397120/R120118490/R120097790/R120203360/R120058740/R120112170/R120296820/R120231950/R120047070/R120080220/R120177370/R120200520/R120087910/R120346080/R120377590/R120215100/R120059180/R120066620/R120118680/R120140540/R120133880/R120151780/R120223250/R120328460/R120363360/R120014300/R120347630/R120285670/R120163550/R120220110/R120139910",61
"ko04212","ko04212","Longevity regulating pathway - worm","61/1634","151/7247",5.20001134376683e-07,3.35920732807337e-05,3.0871646293521e-05,"R120115120/R120195860/R120269530/R120307940/R120357140/R120031200/R120285650/R120297300/R120058430/R120246690/R120230820/R120139930/R120252920/R120354730/R120025230/R120377300/R120186820/R120133620/R120371550/R120257470/R120059170/R120139920/R120223390/R120252910/R120307950/R120078950/R120397120/R120173970/R120097790/R120170870/R120203360/R120327040/R120314920/R120232740/R120142370/R120182880/R120112170/R120085490/R120298100/R120231950/R120346330/R120177370/R120096250/R120010530/R120297060/R120059180/R120118680/R120074830/R120089750/R120163800/R120039130/R120186860/R120133880/R120151780/R120223250/R120363360/R120347630/R120285670/R120269360/R120092440/R120139910",61
"ko01524","ko01524","Platinum drug resistance","46/1634","105/7247",8.98276174669661e-07,4.83572007363834e-05,4.44410317994464e-05,"R120115120/R120195860/R120269530/R120307940/R120357140/R120031200/R120285650/R120297300/R120058430/R120368960/R120246690/R120139930/R120252920/R120354730/R120025230/R120377300/R120197790/R120371550/R120257470/R120059170/R120236480/R120139920/R120223390/R120252910/R120310600/R120020160/R120307950/R120397120/R120097790/R120203360/R120310250/R120112170/R120231950/R120177370/R120059180/R120118680/R120217160/R120133880/R120151780/R120223250/R120363360/R120347630/R120285670/R120318300/R120307650/R120139910",46
"ko00480","ko00480","Glutathione metabolism","55/1634","136/7247",1.80466796968073e-06,8.32725363152681e-05,7.65287770601454e-05,"R120115120/R120082750/R120195860/R120101330/R120269530/R120082740/R120307940/R120357140/R120031200/R120285650/R120259240/R120297300/R120058430/R120134380/R120246690/R120139930/R120252920/R120354730/R120025230/R120377300/R120043720/R120371550/R120257470/R120059170/R120139920/R120223390/R120355380/R120252910/R120231650/R120307950/R120328160/R120397120/R120097790/R120203360/R120024170/R120112170/R120231950/R120255860/R120367660/R120177370/R120048870/R120182530/R120059180/R120118680/R120071660/R120133880/R120151780/R120223250/R120363360/R120212260/R120347630/R120285670/R120263120/R120047080/R120139910",55
"ko00983","ko00983","Drug metabolism - other enzymes","43/1634","108/7247",3.72125856631042e-05,0.00150245814614783,0.00138078278381518,"R120115120/R120195860/R120269530/R120307940/R120357140/R120031200/R120285650/R120297300/R120058430/R120246690/R120139930/R120252920/R120354730/R120025230/R120377300/R120371550/R120257470/R120059170/R120139920/R120223390/R120252910/R120307950/R120397120/R120097790/R120209540/R120301980/R120165940/R120203360/R120112170/R120231950/R120248150/R120177370/R120266190/R120059180/R120118680/R120038090/R120133880/R120151780/R120223250/R120363360/R120347630/R120285670/R120139910",43
"ko05225","ko05225","Hepatocellular carcinoma","42/1634","106/7247",5.22117440669785e-05,0.00187382148151489,0.00172207155870034,"R120115120/R120195860/R120269530/R120307940/R120357140/R120031200/R120285650/R120297300/R120058430/R120246690/R120139930/R120252920/R120354730/R120025230/R120377300/R120371550/R120257470/R120059170/R120139920/R120223390/R120252910/R120307950/R120397120/R120097790/R120170870/R120203360/R120112170/R120231950/R120346330/R120177370/R120297060/R120059180/R120284840/R120118680/R120074830/R120133880/R120151780/R120223250/R120363360/R120347630/R120285670/R120139910",42
"ko04918","ko04918","Thyroid hormone synthesis","12/1634","20/7247",0.000333470887327943,0.0107711096606926,0.00989882002384,"R120038370/R120134380/R120210750/R120231650/R120097260/R120231920/R120155430/R120296820/R120080220/R120215100/R120066620/R120014300",12
